dataset,session,file_index,file_name,duration_frame,duration_sec,frame_start,frame_stop,sec_start,sec_stop,sample_start,sample_stop,target_ID,num_active_sources,vad_ID_1,vad_ID_2,vad_ID_3,vad_ID_4,vad_ID_5,vad_ID_6,vad_ID_7,sim_rec,rt60,target_azi_deg,target_ele_deg,target_doa_dev_deg,mean_quart_x,mean_quart_y,mean_quart_z,mean_quart_w,std_quart_x,std_quart_y,std_quart_z,std_quart_w,target_dB,array_dB
D4,1,1,vad_D4_S1_M00,213,10.65,21,233,1,11.65,48001,559200,4,2,0,0,0,1,0,1,0,rec,0.645,15.0901292871843,3.45683468750206,17.7302607996319,0.980922167118419,0.00716973523568199,0.108468456539092,0.0139729670133941,0.007222758159309,0.0273351634973064,0.0334987319578422,0.154851973983359,-37.7638285681693,-31.5963604983139
D4,1,1,vad_D4_S1_M00,229,11.45,374,602,18.65,30.1,895201,1444800,4,2,0,0,0,1,0,1,0,rec,0.645,23.7395465475994,0.606596059371975,18.3883084282639,0.981991780222634,-0.00750800256096819,0.0776964668020465,-0.0519348078038635,0.00781721718424246,0.0287489655884402,0.0382085670195839,0.157072521155707,-38.401315249037,-32.1268692720634
D4,1,1,vad_D4_S1_M00,87,4.35,723,809,36.1,40.45,1732801,1941600,4,2,0,0,0,1,0,1,0,rec,0.645,35.6788495202116,5.54569913549548,4.30373635629785,0.975041937048317,-0.00653519506131405,0.145654354777648,-0.155820744908187,0.0092783774756359,0.024979039540338,0.0510098131535235,0.0220530786873721,-39.9415007955394,-33.8132698448083
D4,1,1,vad_D4_S1_M00,123,6.15,890,1012,44.45,50.6,2133601,2428800,4,2,0,0,0,1,0,1,0,rec,0.645,19.9536448737101,3.74619687123625,21.9148538219419,0.976267638271792,-0.031905742995493,0.0927522177658736,-0.018924890207859,0.00903430549400633,0.0440995107404966,0.0280885891572946,0.185491844510054,-38.7922150900523,-31.7229614259668
D4,1,1,vad_D4_S1_M00,28,1.4,1173,1200,58.6,60,2812801,2880000,4,2,0,0,0,1,0,1,0,rec,0.645,-3.31861440974815,-0.0659852812890553,4.92396764200599,0.976357592081283,-0.0699429305488847,0.0595343054616546,0.18774451901191,0.00691037403671284,0.00378973201917116,0.0127038831397397,0.0541354329659979,-41.1028159453415,-37.6462079673555
D4,1,1,vad_D4_S1_M00,79,3.95,1,79,0,3.95,1,189600,6,2,0,0,0,1,0,1,0,rec,0.645,-38.3903355308644,-2.57812680055206,3.95005385664444,0.983345092078988,0.0231463048409591,0.0934313661203123,0.147015218256111,0.00459079034242415,0.0327560196048038,0.024019742503648,0.0225846576957888,-47.5037364568312,-31.8029443209239
D4,1,1,vad_D4_S1_M00,137,6.85,100,236,4.95,11.8,237601,566400,6,2,0,0,0,1,0,1,0,rec,0.645,-16.9463652470038,-0.467129961407327,17.863878746511,0.977471009689551,0.00364052056189198,0.113740500223096,-0.0383052395803486,0.00627219753932301,0.0256885360660741,0.0365873784084184,0.168270764550661,-43.7712128811953,-32.2142864672832
D4,1,1,vad_D4_S1_M00,198,9.9,357,554,17.8,27.7,854401,1329600,6,2,0,0,0,1,0,1,0,rec,0.645,-11.846168483201,-2.66068723468376,16.4786272918052,0.979867392063864,-0.00729761527424224,0.0927902383776864,-0.0809457209764952,0.00751633294748668,0.0349846459047776,0.0270080216719858,0.150863001543414,-44.9815663904562,-31.6771321739868
D4,1,1,vad_D4_S1_M00,70,3.5,675,744,33.7,37.2,1617601,1785600,6,2,0,0,0,1,0,1,0,rec,0.645,-13.8290238939813,-2.92818435776769,13.4801440758926,0.984156014341025,-0.0200631123695286,0.0929623279229026,-0.0756162099330476,0.0119891867657165,0.0189328136560527,0.060595926714604,0.112866095981211,-49.2803988069038,-37.7565706635673
D4,1,1,vad_D4_S1_M00,208,10.4,805,1012,40.2,50.6,1929601,2428800,6,2,0,0,0,1,0,1,0,rec,0.645,-15.5571057529378,-2.27312190160929,18.2859441196391,0.978196787327251,-0.0226490655333254,0.0993562957653561,-0.0523443494364559,0.00867462747242291,0.0379162545732908,0.0344204263252514,0.165689665417124,-44.0918792616802,-32.5811360595549
D4,1,1,vad_D4_S1_M00,101,5.05,1073,1173,53.6,58.65,2572801,2815200,6,2,0,0,0,1,0,1,0,rec,0.645,-19.3481322091861,0.743524455885003,13.9208945640866,0.98022461583878,-0.0250112617422266,0.13518591742047,-0.0209315525715036,0.00823989773278996,0.0477974389862428,0.025078630658451,0.130527989700276,-48.5934062819534,-39.0863870804529
D4,1,2,vad_D4_S1_M01,97,4.85,1,97,0,4.85,1,232800,4,2,0,0,0,1,0,1,0,rec,0.645,4.77607869349161,1.28732102733661,8.41283135068589,0.986007888883411,0.0256928235096106,0.0878073481081096,0.107399104648926,0.00559048344240523,0.0142714039072784,0.0241509812239058,0.084543175545839,-37.8057635716612,-34.1133469959855
D4,1,2,vad_D4_S1_M01,116,5.8,218,333,10.85,16.65,520801,799200,4,2,0,0,0,1,0,1,0,rec,0.645,39.9532398017588,6.9067460406611,3.98454142739633,0.966297525549874,-0.0211972679912383,0.140397936778248,-0.206954417717549,0.00614909598544505,0.0384198269774419,0.034423571091881,0.0246512552539964,-38.5630924539065,-33.6924804252052
D4,1,2,vad_D4_S1_M01,128,6.4,454,581,22.65,29.05,1087201,1394400,4,2,0,0,0,1,0,1,0,rec,0.645,15.9554891017356,-0.166187462914378,17.3750079115747,0.984133184296821,-0.0191328942728799,0.0649331024211059,0.00457583691046327,0.00825178116822537,0.0314731057006159,0.0423871322919902,0.155670271261721,-39.0924423468772,-34.9158351326402
D4,1,2,vad_D4_S1_M01,96,4.8,702,797,35.05,39.85,1682401,1912800,4,2,0,0,0,1,0,1,0,rec,0.645,9.18833317883557,5.47547414950135,13.8988647476499,0.979665591087242,0.014082429370008,0.118828298759804,0.0583741171245611,0.00572019271651238,0.0331987790764134,0.0267003651773409,0.144624354759164,-37.1093316383556,-32.6234873651253
D4,1,2,vad_D4_S1_M01,205,10.25,818,1022,40.85,51.1,1960801,2452800,4,2,0,0,0,1,0,1,0,rec,0.645,25.809489770546,1.17072808252388,15.7095337251428,0.978773617431464,0.0155639777276135,0.101805404652613,-0.0860570919914439,0.00808797497668096,0.0465841195105546,0.0303207666603088,0.144748001495282,-39.3072062544535,-35.0745128213513
D4,1,2,vad_D4_S1_M01,58,2.9,1143,1200,57.1,60,2740801,2880000,4,1,0,0,0,1,0,0,0,rec,0.645,-4.26683199195035,3.13801403236731,4.95473218850779,0.977007683561655,0.0291649691807982,0.106705807508424,0.17619268806128,0.00909412722978908,0.0100531822561412,0.0221473174549354,0.0392337831179772,-36.4045576966522,-33.7014567124798
D4,1,2,vad_D4_S1_M01,79,3.95,61,139,3,6.95,144001,333600,6,2,0,0,0,1,0,1,0,rec,0.645,-35.0999868076263,-5.98639356209615,7.78488332255895,0.987033228236448,0.0131949705973073,0.0658164955827334,0.120744972315473,0.00354535682426789,0.0204956155818581,0.0248694494216753,0.0755881543648576,-42.4585433869438,-35.4162944957012
D4,1,2,vad_D4_S1_M01,133,6.65,240,372,11.95,18.6,573601,892800,6,2,0,0,0,1,0,1,0,rec,0.645,-6.22798181176111,2.69756237018035,11.8465169242208,0.971063482143198,-0.00367942516893966,0.141678967382832,-0.139813865443657,0.00875294010740672,0.0412284911925788,0.0360935172880665,0.120220719223395,-43.729026762195,-34.9103305549406
D4,1,2,vad_D4_S1_M01,223,11.15,493,715,24.6,35.75,1180801,1716000,6,2,0,0,0,1,0,1,0,rec,0.645,-24.6280904934071,-6.91304078174844,18.4959370634389,0.983134771156812,0.00126425886572457,0.0605101091346201,0.0188860682029595,0.0091340020301811,0.0304202714619491,0.0441313642515886,0.163100651883351,-43.0746563994374,-36.0667058972387
