dataset,session,file_index,file_name,duration_frame,duration_sec,frame_start,frame_stop,sec_start,sec_stop,sample_start,sample_stop,target_ID,num_active_sources,vad_ID_1,vad_ID_2,vad_ID_3,vad_ID_4,vad_ID_5,vad_ID_6,vad_ID_7,sim_rec,rt60,target_azi_deg,target_ele_deg,target_doa_dev_deg,mean_quart_x,mean_quart_y,mean_quart_z,mean_quart_w,std_quart_x,std_quart_y,std_quart_z,std_quart_w,target_dB,array_dB
1,1,1,00-00-000,89,4.45,120,208,5.95,10.4,285601,499200,4,1,0,0,0,1,0,0,0,rec,0.645,3.714885132,6.725971301,14.31270612,-0.975388889,-0.026477778,-0.109022222,-0.125155556,0.032743022,0.013935024,0.133987923,0.032991967,-31.84332923,-50.09216444
1,1,1,00-00-000,48,2.4,326,373,16.25,18.65,780001,895200,4,1,0,0,0,1,0,0,0,rec,0.645,2.884328748,-1.824184011,0.882784475,-0.987122449,-0.058816327,-0.03777551,-0.141816327,0.000439349,0.000928113,0.014158721,0.002438181,-29.95738676,-48.22327266
1,1,1,00-00-000,24,1.2,392,415,19.55,20.75,938401,996000,4,1,0,0,0,1,0,0,0,rec,0.645,9.152769899,-1.385260831,0.800803372,-0.99532,-0.03072,-0.03824,-0.083,0.000627163,0.001882374,0.008130601,0.001658312,-33.15273714,-50.07059124
1,1,1,00-00-000,43,2.15,455,497,22.7,24.85,1089601,1192800,4,1,0,0,0,1,0,0,0,rec,0.645,15.68546097,0.209992269,6.483880191,-0.996295455,-0.019477273,-0.054204545,-0.031022727,0.001423712,0.007816169,0.027704067,0.049075873,-32.95161871,-46.47963931
1,1,1,00-00-000,28,1.4,978,1005,48.85,50.25,2344801,2412000,4,1,0,0,0,1,0,0,0,rec,0.645,20.82906559,-5.123295286,2.796751411,-0.992655172,-0.112344828,-0.037517241,0.000793103,0.001078221,0.008482233,0.002861327,0.023663382,-31.46477009,-49.23230253
1,1,1,00-00-000,107,5.35,1,107,0,5.35,1,256800,6,1,0,0,0,0,0,1,0,rec,0.645,-7.780510313,-2.322268255,1.512529587,-0.991546296,-0.009203704,-0.021148148,0.126425926,0.001079843,0.004938423,0.004896718,0.01638851,-33.03432508,-48.40447291
1,1,1,00-00-000,206,10.3,557,762,27.8,38.1,1334401,1828800,6,1,0,0,0,0,0,1,0,rec,0.645,-4.041576556,0.810030862,2.212887245,-0.986454106,-0.026468599,-0.042975845,0.153801932,0.00179983,0.011216221,0.022595953,0.006513943,-34.87806098,-49.08161204
1,1,1,00-00-000,42,2.1,881,922,44,46.1,2112001,2212800,6,1,0,0,0,0,0,1,0,rec,0.645,-4.062650318,-2.604309225,3.239393416,-0.985209302,0.033813953,-0.027860465,0.161627907,0.004517469,0.013813823,0.007535887,0.032066169,-35.88426644,-49.83891498
1,1,2,01-00-288,39,1.95,136,174,6.75,8.7,324001,417600,4,1,0,0,0,1,0,0,0,rec,0.645,1.310143714,1.248342675,1.072750494,-0.9872,-0.0308,-0.056225,-0.144975,0.000563869,0.004368888,0.013749569,0.004022294,-30.84559133,-48.96230315
1,1,2,01-00-288,37,1.85,193,229,9.6,11.45,460801,549600,4,1,0,0,0,1,0,0,0,rec,0.645,3.304983059,-1.208833516,0.323706089,-0.989868421,-0.035684211,-0.037947368,-0.132184211,0.000528693,0.001042483,0.000898869,0.00285558,-32.14441903,-49.49885482
